nro_proveedor,nombre_proveedor,cuit,categoria_proveedor,tipo_contribuyente_id,contacto,correo,telefono,importe,fecha,nro_cuenta_id,ciudad,pais
P00006,Grupo Alfa S.R.L.,30-97531246-1,SERVIC/OS,5,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,251.833,2024-01-09,19,San Miguel de Tucumán,Argentina
P00007,Ana Sánchez S.A.,30-19283746-4,SERVIC/OS,5,Ana Sánchez,ana.sanchez@correo.com,7890-1234,235.688,2024-05-06,21,Mar del Plata,Argentina
P00008,Compañía Beta S.R.L.,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,110.198,2024-06-12,24,La Plata,Argentina
P00008,Compañía Beta S.R.L.,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,269.252,2024-01-21,24,La Plata,Argentina
P00009,Fernando Gómez S.A.,30-12345679-8,MATER/IALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,12.373,2024-01-20,27,Mendoza,Argentina
P00009,Fernando Gómez S.A.,30-12345679-8,MATER/IALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,151.274,2024-03-06,27,Mendoza,Argentina
P00010,Soluciones Gama S.R.L.,30-98765432-1,SERVIC/OS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,101.61,2024-01-28,36,Mar del Plata,Argentina
P00010,Soluciones Gama S.R.L.,30-98765432-1,SERVIC/OS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,273.713,2024-05-02,36,Mar del Plata,Argentina
P00011,Javier López S.A.,30-65432198-7,AGENTE /IMPOSITIVO,4,Javier López,javier.lopez@correo.zom,1234-5678,291.963,2024-06-04,38,Mar del Plata,Argentina
P00012,Proveedor Ltda. S.R.L.,30-32165487-0,SERVIC/OS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,224.379,2024-04-09,19,Salta,Argentina
P00012,Proveedor Ltda. S.R.L.,30-32165487-0,SERVIC/OS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,153.447,2024-06-03,19,Salta,Argentina
P00013,Repuestos Omega S.A.,30-45678901-2,SERVIC/OS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,79.543,2024-04-14,21,Santa Fe,Argentina
P00013,Repuestos Omega S.A.,30-45678901-2,SERVIC/OS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,41.665,2024-02-01,21,Santa Fe,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,30135792487,MATER/IALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,58.494,2024-01-15,24,San Juan,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,30135792487,MATER/IALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,218.705,2024-06-19,24,San Juan,Argentina
P00015,Rosa Pérez S.A.,30-24681358-6,AGENTE /IMPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,35.574,2024-05-24,27,Buenos Aires,Argentina
P00015,Rosa Pérez S.A.,30-24681358-6,AGENTE /IMPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,26.434,2024-05-19,27,Buenos Aires,Argentina
P00016,Marketing Global S.R.L.,30-97531247-8,SERVIC/OS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,295.412,2024-04-09,36,Neuquén,Argentina
P00016,Marketing Global S.R.L.,30-97531247-8,SERVIC/OS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,128.265,2024-04-10,36,Neuquén,Argentina
P00017,Julio Fernández S.A.,30-86430976-9,MATER/IALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,136.358,2024-05-01,38,Rio Gallegos,Argentina
P00017,Julio Fernández S.A.,30-86430976-9,MATER/IALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,288.537,2024-03-05,38,Rio Gallegos,Argentina
P00018,Consultora Zeta S.R.L.,30-19283747-0,SERVIC/OS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,122.441,2024-01-03,19,San Rafael,Argentina
P00018,Consultora Zeta S.R.L.,30-19283747-0,SERVIC/OS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,133.962,2024-02-04,19,San Rafael,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,109.47,2019-01-01,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,211.512,2019-03-28,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,115.392,2019-05-28,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,66.906,2021-01-07,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,149.277,2020-10-07,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,164.82,2023-01-01,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,84.017,2023-10-07,27,Buenos Aires,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,12.77,2019-01-03,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,279.575,2019-04-01,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,229.019,2019-06-01,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,277.032,2021-01-10,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,170.554,2020-10-10,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,109.099,2023-01-03,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,120.929,2023-10-10,19,Bahía Blanca,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,272.036,2019-01-05,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,211.801,2019-04-04,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,153.534,2019-06-04,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,291.211,2021-01-13,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,25.1,2020-10-13,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,136.125,2023-01-05,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,151.245,2023-10-13,19,Buenos Aires,Argentina
P00104,María González S.R.L.,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,10.352,2019-01-07,20,Buenos Aires,Argentina
P00104,María González S.R.L.,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,199.434,2019-04-07,20,Buenos Aires,Argentina
P00104,María González S.R.L.,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,288.754,2021-01-16,20,Buenos Aires,Argentina
P00104,María González S.R.L.,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,241.67,2023-01-07,20,Buenos Aires,Argentina
P00105,Pedro López S.A.,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,291.67,2019-01-10,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,175.139,2019-04-10,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,140.691,2021-01-19,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,257.51,2023-01-10,38,Santiago del Estero,Argentina
P00106,Laura Pérez S.R.L.,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,104.176,2019-02-11,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,18.742,2019-04-13,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,29.783,2021-01-22,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,47.776,2023-02-11,25,Río Cuarto,Argentina
P00107,Javier Ramírez S.A.,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,64.042,2019-02-14,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,271.022,2019-04-16,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,269.442,2021-01-25,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,51.622,2023-02-14,27,San Fernando del Valle de Catamarca,Argentina
P00108,Claudia Sánchez Cooperativa,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,131.033,2019-02-17,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,166.866,2019-04-19,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,42.714,2021-01-28,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,130.133,2023-02-17,19,Villa María,Argentina
P00109,Daniel Morales S.R.L.,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,152.895,2019-02-20,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,230.465,2019-04-22,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,190.624,2021-02-01,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,232.698,2023-02-20,20,San Luis,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,192.247,2019-01-12,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,215.535,2019-02-23,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,53.588,2019-04-25,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,198.463,2021-02-04,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,193.408,2023-01-12,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,175.62,2023-02-23,38,Chaco,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,233.493,2019-01-15,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,172.873,2019-02-26,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,134.09,2019-04-28,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,128.552,2021-02-07,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,200.989,2023-01-15,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,248.69,2023-02-26,25,Buenos Aires,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,39.393,2019-01-17,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,202.116,2019-03-01,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,282.553,2019-05-01,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,143.848,2021-02-10,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,172.745,2023-01-17,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,176.341,2023-03-01,27,San Nicolás,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,125.746,2019-01-20,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,259.6,2019-03-04,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,232.274,2019-05-04,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,49.747,2019-06-07,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,111.656,2021-02-13,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,43.202,2020-10-16,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,129.158,2023-01-20,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,152.24,2023-03-04,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,35.853,2023-10-16,19,Luján,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,13.869,2019-01-22,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,157.396,2019-03-07,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,97.345,2019-05-07,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,57.351,2019-06-10,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,251.228,2021-02-16,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,257.036,2020-10-19,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,226.947,2023-01-22,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,57.471,2023-10-19,20,Jujuy,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,277.243,2019-01-25,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,184.382,2019-03-10,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,273.206,2019-05-10,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,109.321,2019-06-13,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,11.195,2021-02-19,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,218.095,2020-10-22,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,14.028,2023-01-25,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,289.894,2023-10-22,38,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,212.213,2019-01-27,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,189.803,2019-03-13,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,91.956,2019-05-13,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,94.918,2019-06-16,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,262.781,2020-09-22,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,113.111,2020-10-25,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,93.391,2023-01-27,25,Buenos Aires,Argentina
P00116,Valeria Ortega S.R.L.,20-98765432-9,Agroindustria,4,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,228.821,2023-10-25,25,Buenos Aires,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,214.933,2019-01-30,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,121.607,2019-03-16,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,63.352,2019-05-16,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,60.909,2019-06-19,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,191.131,2020-09-25,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,30.101,2020-10-28,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,239.664,2023-01-30,27,Trelew,Argentina
P00117,Juan Castillo S.A.,30-87654321-0,Tecnología,2,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,16.77,2023-10-28,27,Trelew,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,167.832,2019-02-02,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,247.694,2019-03-19,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,113.663,2019-05-19,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,19.987,2019-06-22,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,26.855,2020-09-28,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,299.321,2020-11-01,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,145.362,2023-02-02,19,Mendoza,Argentina
P00118,Sofía Martínez Cooperativa,27-12345678-9,Energía Renovable,5,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,52.591,2023-11-01,19,Mendoza,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,285.851,2019-02-05,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,266.431,2019-03-22,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,47.892,2019-05-22,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,143.655,2019-06-25,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,253.069,2021-01-01,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,124.078,2020-10-01,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,164.974,2020-11-04,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,98.184,2023-02-05,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,70.237,2023-10-01,20,San Fernando,Argentina
P00119,Pablo Díaz S.R.L.,23-87654329-8,Transporte,4,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,249.088,2023-11-04,20,San Fernando,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,130.253,2019-02-08,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,201.168,2019-03-25,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,182.791,2019-05-25,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,100.941,2019-06-28,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,74.48,2019-07-01,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,50.006,2019-07-04,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,70.453,2021-01-04,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,16.006,2020-10-04,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,168.444,2020-11-07,38,Merlo,Argentina
P00120,Isabel Ramírez S.A.,33-76543218-9,Construcción,2,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,285.123,2020-11-10,38,Merlo,Argentina
