numero,nombre,tipo,contacto,correo,telefono,observaciones,tipo_contribuyente_id,cuit,alta,baja,activo,frecuencia,importe,nro_cuenta_id,fecha_donacion
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,130.672,9,2021-02-07
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,195.011,9,2021-05-04
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,199.47,9,2021-08-06
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,196.54,9,2021-11-03
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,167.308,9,2022-02-09
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,194.895,9,2022-05-05
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,157.365,9,2022-08-07
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,156.809,9,2022-11-04
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,168.805,9,2023-02-06
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,175.721,9,2023-05-03
D00110,Apoyo Logistico SA,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 50300105,Observación 175,5,290126547614,2020-05-02,2024-07-01,NO,Trimestral,129.491,9,2023-08-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,766.487,9,2019-12-02
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,356.286,9,2020-01-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,72.321,9,2020-02-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,512.66,9,2020-03-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,235.999,9,2020-04-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,188.904,9,2020-05-06
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,183.842,9,2020-06-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,70.469,9,2020-07-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,207.544,9,2020-08-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,483.595,9,2020-09-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,226.668,9,2020-10-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,285.886,9,2020-11-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,321.539,9,2020-12-02
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,345.181,9,2021-01-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,250.534,9,2021-02-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,333.984,9,2021-03-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,522.252,9,2021-04-06
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,564.381,9,2021-05-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,53.611,9,2021-06-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,175.471,9,2021-07-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,487.451,9,2021-08-06
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,590.151,9,2021-09-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,442.684,9,2021-10-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,520.747,9,2021-11-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,599.251,9,2021-12-06
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,360.648,9,2022-01-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,63.873,9,2022-02-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,299.852,9,2022-03-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,723.618,9,2022-04-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,615.923,9,2022-05-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,282.999,9,2022-06-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,693.094,9,2022-07-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,54.677,9,2022-08-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,319.808,9,2022-09-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,626.97,9,2022-10-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,364.686,9,2022-11-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,631.303,9,2022-12-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,274.376,9,2023-01-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,128.788,9,2023-02-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,256.681,9,2023-03-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,480.666,9,2023-04-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,482.346,9,2023-05-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,488.328,9,2023-06-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,262.263,9,2023-07-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,356.384,9,2023-08-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,544.174,9,2023-09-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,149.397,9,2023-10-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,675.154,9,2023-11-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,202.733,9,2023-12-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,773.286,9,2024-01-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,334.462,9,2024-02-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,739.298,9,2024-03-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,539.067,9,2024-04-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,159.307,9,2024-05-03
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,152.701,9,2024-06-05
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,430.624,9,2024-07-04
D00111,Futuro Corporativo SAS,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 53803426,Observación D,4,27237832666,2019-12-02,,SI,Mensual,148.343,9,2024-08-05
D00112,Global Energies SA,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,385.846,11,2019-08-13
D00112,Global Energies,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,750.782,11,2020-08-14
D00112,Global Energies,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,409.837,11,2021-08-12
D00112,Global Energies,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,747.805,11,2022-08-15
D00112,Global Energies,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,260.898,11,2023-08-13
D00112,Global Energies,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 55037127,Observación C,5,25369015148,2019-08-13,,SI,Anual,558.515,11,2024-08-14
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,706.102,11,2022-01-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,254.098,11,2022-02-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,76.229,11,2022-03-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,628.328,11,2022-04-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,486.856,11,2022-05-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,298.046,11,2022-06-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,171.034,11,2022-07-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,587.146,11,2022-08-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,417.361,11,2022-09-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,279.196,11,2022-10-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,706.918,11,2022-11-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,385.281,11,2022-12-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,331.28,11,2023-01-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,351.957,11,2023-02-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,357.979,11,2023-03-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,581.485,11,2023-04-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,428.123,11,2023-05-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,85.345,11,2023-06-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,774.305,11,2023-07-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,609.982,11,2023-08-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,680.131,11,2023-09-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,130.889,11,2023-10-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,760.502,11,2023-11-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,469.51,11,2023-12-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,577.317,11,2024-01-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,445.942,11,2024-02-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,239.793,11,2024-03-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,340.346,11,2024-04-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,178.456,11,2024-05-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,224.2,11,2024-06-22
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,609.063,11,2024-07-21
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,740.873,11,2024-08-23
D00113,Proyecto Gubernamental GOB,Estado,Contacto E,proyectogubernamental@mail.com,(+)598 55509219,Observación D,1,29751964061,2022-01-21,,SI,Mensual,508.753,11,2024-09-01
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,193.728,12,2021-01-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,139.844,12,2021-02-23
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,45.549,12,2021-03-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,87.788,12,2021-04-24
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,57.471,12,2021-05-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,40.464,12,2021-06-23
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,190.604,12,2021-07-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,197.183,12,2021-08-23
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,46.112,12,2021-09-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,132.359,12,2021-10-23
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,180.459,12,2021-11-22
D00114,Latinoamerica Crece GOB,Estado,Contacto ESD,latinoamerica_crece@example.com,(+)598 55509219,,1,27751934561,2020-01-21,2021-12-25,NO,Mensual,113.088,12,2021-12-23
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,180.488,12,2020-12-25
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,79.065,12,2021-02-10
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,184.185,12,2021-04-07
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,65.0,12,2021-06-19
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,181.635,12,2021-08-05
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,66.423,12,2021-10-22
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,123.625,12,2021-12-15
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,89.993,12,2022-02-03
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,11.747,12,2022-04-21
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,43.728,12,2022-06-09
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,108.254,12,2022-08-26
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,53.331,12,2022-10-14
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,156.418,12,2022-12-01
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,172.159,12,2023-01-19
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,196.425,12,2023-03-06
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,43.469,12,2023-05-22
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,31.692,12,2023-07-10
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,92.066,12,2023-09-25
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,121.69,12,2023-11-13
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,87.28,12,2023-12-30
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,85.785,12,2024-02-17
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,149.833,12,2024-04-04
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,86.746,12,2024-05-22
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,66.711,12,2024-07-10
D00115,Mercado Popular SAS,Campaña,Contacto VDS,mercadopopular@example.com,(+)55 55509219,Observación DAS,4,24341934562,2020-12-22,,SI,Bimestral,40.287,12,2024-08-28
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,72.299,9,2018-12-23
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,63.458,9,2019-10-23
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,173.463,9,2020-11-15
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,42.59,9,2021-05-12
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,58.332,9,2022-12-23
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,185.679,9,2023-10-23
D00116,Universidad del Sur S.A,Empresa,Contacto V,universidadds@mail.com,(+)51 55509220,Observación O,5,29387934563,2018-12-23,,SI,Anual,43.675,9,2024-06-01
