Número Proveedor,Nombre Proveedor,Nombre Proveedor,CUIT,Categor/a Proveedor,tipo_contribuyente_id,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,nro_cuenta_id,Ciudad,Pais
P00091,Pedro Morales S.A.,Pedro Morales,30-97531255-2,AGENTE /IMPOSITIVO,5,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,$193.959,18/04/2024,36,,Argentina
P00091,Pedro Morales S.A.,Pedro Morales,30-97531255-2,AGENTE /IMPOSITIVO,5,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,$209.036,29/06/2024,36,,Argentina
P00092,Consultora Zeta S.R.L.,Consultora Zeta,30-86430986-3,SERVICIOS,4,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,$19.014,19/01/2024,38,,Argentina
P00092,Consultora Zeta S.R.L.,Consultora Zeta,30-86430986-3,SERVICIOS,4,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,$204.823,22/02/2024,38,,Argentina
P00093,Servicios Proveedores S.A.,Servicios Proveedores,30-13579253-4,SERVICIOS,5,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,$151.263,27/06/2024,19,,Argentina
P00093,Servicios Proveedores S.A.,Servicios Proveedores,30-13579253-4,SERVICIOS,5,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,$135.868,09/01/2024,19,,Argentina
P00094,Gabriela Martínez S.R.L.,Gabriela Martínez,30-24681366-5,AGENTE /IMPOSITIVO,4,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,$220.046,02/03/2024,21,,Argentina
P00094,Gabriela Martínez S.R.L.,Gabriela Martínez,30-24681366-5,AGENTE /IMPOSITIVO,4,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,$37.732,21/03/2024,21,,Argentina
P00095,Servicios Consultores S.A.,Servicios Consultores,30-97531256-6,SERVICIOS,5,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,$176.507,30/03/2024,24,,Argentina
P00095,Servicios Consultores S.A.,Servicios Consultores,30-97531256-6,SERVICIOS,5,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,$80.841,28/06/2024,24,,Argentina
P00096,Mariana Fernández S.R.L.,Mariana Fernández,30-86430987-7,MATERIALES,4,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,$197.447,04/03/2024,27,,Argentina
P00096,Mariana Fernández S.R.L.,Mariana Fernández,30-86430987-7,MATERIALES,4,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,$204.006,11/05/2024,27,,Argentina
P00097,Proveedora Consultora S.A.A,Proveedora Consultora,30-19283755-8,SERVICIOS,5,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,$56.026,16/03/2024,36,,Argentina
P00097,Proveedora Consultora S.A.A,Proveedora Consultora,30-19283755-8,SERVICIOS,5,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,$124.891,30/06/2024,36,,Argentina
P00098,Consultora Alpha S.R.L.,Consultora Alpha,30-32165492-9,MATERIALES,4,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,$158.472,04/04/2024,38,,Argentina
P00098,Consultora Alpha S.R.L.,Consultora Alpha,30-32165492-9,MATERIALES,4,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,$174.377,25/02/2024,38,,Argentina
P00099,Servicios Repuestos S.A.,Servicios Repuestos,30-45678910-0,SERVICIOS,5,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,$229.885,26/05/2024,19,,Argentina
P00099,Servicios Repuestos S.A.,Servicios Repuestos,30-45678910-0,SERVICIOS,5,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,$50.432,03/06/2024,19,,Argentina
P00100,Gabriela Morales S.R.L.,Gabriela Morales,30-98765437-1,MATERIALES,4,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,$11.660,31/01/2024,21,,Argentina
P00100,Gabriela Morales S.R.L.,Gabriela Morales,30-98765437-1,MATERIALES,4,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,$213.343,07/01/2024,21,,Argentina
P00001,Proveedora S.A.,Proveedora S.A.,30-12345678-9,SERVIC/OS,5,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,$171.488,18/03/2024,19,Buenos Aires,Argentina
P00002,Pedro González S.R.L.,Pedro González,30-87654321-0,SERVIC/OS,4,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,$288.255,08/02/2024,21,Cordoba,Argentina
P00003,Empresa XYZ S.A.,Empresa XYZ,30-13579246-3,MATER/IALES,5,María López,maria.lopez@empresa.com,3456-7890,S.A.,$195.975,18/01/2024,24,Rosario,Argentina
P00004,Servicios AB S.R.L.,Servicios AB,30-24681357-2,AGENTE /MPOSITIVO,5,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,S.R.L.,$158.607,09/03/2024,27,Mendoza,Argentina
P00005,Carlos Méndez S.A.,Carlos Méndez,30-12345678-9,SERVIC/OS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,$238.101,28/03/2024,38,Buenos Aires,Argentina
P00005,Carlos Méndez S.A.,Carlos Méndez,30-12345678-9,SERVIC/OS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,$288.617,14/04/2024,38,Buenos Aires,Argentina
P00006,Grupo Alfa S.R.L.,Grupo Alfa,30-97531246-1,SERVIC/OS,5,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,$251.833,09/01/2024,19,San Miguel de Tucumán,Argentina
P00007,Ana Sánchez S.A.,Ana Sánchez,30-19283746-4,SERVIC/OS,5,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,$235.688,06/05/2024,21,Mar del Plata,Argentina
P00008,Compañía Beta S.R.L.,Compañía Beta,30-74859632-7,AGENTE /MPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,$110.198,12/06/2024,24,La Plata,Argentina
P00008,Compañía Beta S.R.L.,Compañía Beta,30-74859632-7,AGENTE /MPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,$269.252,21/01/2024,24,La Plata,Argentina
P00009,Fernando Gómez S.A.,Fernando Gómez,30-12345679-8,MATER/IALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,$12.373,20/01/2024,27,Mendoza,Argentina
P00009,Fernando Gómez S.A.,Fernando Gómez,30-12345679-8,MATER/IALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,$151.274,06/03/2024,27,Mendoza,Argentina
P00010,Soluciones Gama S.R.L.,Soluciones Gama,30-98765432-1,SERVIC/OS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,$101.610,28/01/2024,36,Mar del Plata,Argentina
P00010,Soluciones Gama S.R.L.,Soluciones Gama,30-98765432-1,SERVIC/OS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,$273.713,02/05/2024,36,Mar del Plata,Argentina
P00011,Javier López S.A.,Javier López,30-65432198-7,AGENTE /MPOSITIVO,4,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,$291.963,04/06/2024,38,Mar del Plata,Argentina
P00012,Proveedor Ltda. S.R.L.,Proveedor Ltda.,30-32165487-0,SERVIC/OS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,$224.379,09/04/2024,19,Salta,Argentina
P00012,Proveedor Ltda. S.R.L.,Proveedor Ltda.,30-32165487-0,SERVIC/OS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,$153.447,03/06/2024,19,Salta,Argentina
P00013,Repuestos Omega S.A.,Repuestos Omega,30-45678901-2,SERVIC/OS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,$79.543,14/04/2024,21,Santa Fe,Argentina
P00013,Repuestos Omega S.A.,Repuestos Omega,30-45678901-2,SERVIC/OS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,$41.665,01/02/2024,21,Santa Fe,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,Estudio Jurídico Alfa,30135792487,MATER/IALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,$58.494,15/01/2024,24,San Juan,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,Estudio Jurídico Alfa,30135792487,MATER/IALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,$218.705,19/06/2024,24,San Juan,Argentina
P00015,Rosa Pérez S.A.,Rosa Pérez,30-24681358-6,AGENTE /MPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,$35.574,24/05/2024,27,Buenos Aires,Argentina
P00015,Rosa Pérez S.A.,Rosa Pérez,30-24681358-6,AGENTE /MPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,$26.434,19/05/2024,27,Buenos Aires,Argentina
P00016,Marketing Global S.R.L.,Marketing Global,30-97531247-8,SERVIC/OS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,$295.412,09/04/2024,36,Neuquén,Argentina
P00016,Marketing Global S.R.L.,Marketing Global,30-97531247-8,SERVIC/OS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,$128.265,10/04/2024,36,Neuquén,Argentina
P00017,Julio Fernández S.A.,Julio Fernández,30-86430976-9,MATER/IALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,$136.358,01/05/2024,38,Rio Gallegos,Argentina
P00017,Julio Fernández S.A.,Julio Fernández,30-86430976-9,MATER/IALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,$288.537,05/03/2024,38,Rio Gallegos,Argentina
P00018,Consultora Zeta S.R.L.,Consultora Zeta,30-19283747-0,SERVIC/OS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,$122.441,03/01/2024,19,San Rafael,Argentina
P00018,Consultora Zeta S.R.L.,Consultora Zeta,30-19283747-0,SERVIC/OS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,$133.962,04/02/2024,19,San Rafael,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$109.470,01/01/2019,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$211.512,28/03/2019,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$115.392,28/05/2019,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$66.906,07/01/2021,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$149.277,7/10/2020,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$164.820,01/01/2023,27,Buenos Aires,Argentina
P00101,Luis Martínez S.R.L.,Luis Martínez,20-12345678-9,Tecnología,4,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,$84.017,7/10/2023,27,Buenos Aires,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$12.770,03/01/2019,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$279.575,01/04/2019,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$229.019,01/06/2019,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$277.032,10/01/2021,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$170.554,10/10/2020,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$109.099,03/01/2023,19,Bahía Blanca,Argentina
P00102,Ana Rodríguez S.A.,Ana Rodríguez,30-98765432-5,Consultoría,2,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,$120.929,10/10/2023,19,Bahía Blanca,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$272.036,05/01/2019,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$211.801,04/04/2019,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$153.534,04/06/2019,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$291.211,13/01/2021,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$25.100,13/10/2020,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$136.125,05/01/2023,19,Buenos Aires,Argentina
P00103,Carlos Fernández Cooperativa,Carlos Fernández,27-23456789-1,Energía Renovable,4,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,$151.245,13/10/2023,19,Buenos Aires,Argentina
P00104,María González S.R.L.,María González,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,$10.352,07/01/2019,20,Buenos Aires,Argentina
P00104,María González S.R.L.,María González,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,$199.434,07/04/2019,20,Buenos Aires,Argentina
P00104,María González S.R.L.,María González,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,$288.754,16/01/2021,20,Buenos Aires,Argentina
P00104,María González S.R.L.,María González,23-45678901-3,Transporte,5,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,$241.670,07/01/2023,20,Buenos Aires,Argentina
P00105,Pedro López S.A.,Pedro López,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,$291.670,10/01/2019,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,Pedro López,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,$175.139,10/04/2019,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,Pedro López,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,$140.691,19/01/2021,38,Santiago del Estero,Argentina
P00105,Pedro López S.A.,Pedro López,33-56789012-4,Construcción,4,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,$257.510,10/01/2023,38,Santiago del Estero,Argentina
P00106,Laura Pérez S.R.L.,Laura Pérez,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,$104.176,11/02/2019,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,Laura Pérez,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,$18.742,13/04/2019,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,Laura Pérez,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,$29.783,22/01/2021,25,Río Cuarto,Argentina
P00106,Laura Pérez S.R.L.,Laura Pérez,20-87654321-2,Agroindustria,2,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,$47.776,11/02/2023,25,Río Cuarto,Argentina
P00107,Javier Ramírez S.A.,Javier Ramírez,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,$64.042,14/02/2019,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,Javier Ramírez,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,$271.022,16/04/2019,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,Javier Ramírez,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,$269.442,25/01/2021,27,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez S.A.,Javier Ramírez,30-65432109-8,Tecnología,4,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,$51.622,14/02/2023,27,San Fernando del Valle de Catamarca,Argentina
P00108,Claudia Sánchez Cooperativa,Claudia Sánchez,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,$131.033,17/02/2019,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,Claudia Sánchez,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,$166.866,19/04/2019,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,Claudia Sánchez,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,$42.714,28/01/2021,19,Villa María,Argentina
P00108,Claudia Sánchez Cooperativa,Claudia Sánchez,27-76543210-6,Energía Renovable,5,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,$130.133,17/02/2023,19,Villa María,Argentina
P00109,Daniel Morales S.R.L.,Daniel Morales,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,$152.895,20/02/2019,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,Daniel Morales,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,$230.465,22/04/2019,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,Daniel Morales,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,$190.624,01/02/2021,20,San Luis,Argentina
P00109,Daniel Morales S.R.L.,Daniel Morales,23-87654320-5,Transporte,4,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,$232.698,20/02/2023,20,San Luis,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$192.247,12/01/2019,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$215.535,23/02/2019,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$53.588,25/04/2019,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$198.463,04/02/2021,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$193.408,12/01/2023,38,Chaco,Argentina
P00110,Gabriela Torres S.A.,Gabriela Torres,33-76543219-7,Construcción,2,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,$175.620,23/02/2023,38,Chaco,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$233.493,15/01/2019,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$172.873,26/02/2019,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$134.090,28/04/2019,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$128.552,07/02/2021,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$200.989,15/01/2023,25,Buenos Aires,Argentina
P00111,Jorge Herrera S.R.L.,Jorge Herrera,20-87654322-3,Agroindustria,4,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,$248.690,26/02/2023,25,Buenos Aires,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$39.393,17/01/2019,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$202.116,01/03/2019,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$282.553,01/05/2019,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$143.848,10/02/2021,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$172.745,17/01/2023,27,San Nicolás,Argentina
P00112,Silvia Ramírez S.A.,Silvia Ramírez,30-76543214-8,Tecnología,2,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,$176.341,01/03/2023,27,San Nicolás,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$125.746,20/01/2019,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$259.600,04/03/2019,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$232.274,04/05/2019,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$49.747,07/06/2019,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$111.656,13/02/2021,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$43.202,16/10/2020,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$129.158,20/01/2023,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$152.240,04/03/2023,19,Luján,Argentina
P00113,Roberto Cruz Cooperativa,Roberto Cruz,27-23456789-3,Energía Renovable,5,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,$35.853,16/10/2023,19,Luján,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$13.869,22/01/2019,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$157.396,07/03/2019,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$97.345,07/05/2019,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$57.351,10/06/2019,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$251.228,16/02/2021,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$257.036,19/10/2020,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$226.947,22/01/2023,20,Jujuy,Argentina
P00114,Patricia Gómez S.R.L.,Patricia Gómez,23-87654323-6,Transporte,4,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,$57.471,19/10/2023,20,Jujuy,Argentina
P00115,Ernesto Ruiz S.A.,Ernesto Ruiz,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,$277.243,25/01/2019,38,Buenos Aires,Argentina
P00115,Ernesto Ruiz S.A.,Ernesto Ruiz,33-65432198-7,Construcción,2,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,$184.382,10/03/2019,38,Buenos Aires,Argentina
