Número,Nombre,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,tipo_contribuyente_id,CUIT,Alta,Baja,Activo,Frecuencia,Importe,nro_cuenta_id,Fecha de la donacion
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$280.468,11,12/04/2020
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$166.865,11,18/06/2020
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$655.577,11,22/08/2020
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$686.866,11,10/10/2020
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$492.556,11,25/12/2020
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$470.537,11,07/02/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$143.318,11,14/04/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$387.405,11,19/06/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$748.110,11,23/08/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$606.837,11,11/10/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$732.998,11,27/12/2021
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$433.172,11,08/02/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$65.198,11,16/04/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$505.685,11,21/06/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$547.634,11,24/08/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$662.880,11,13/10/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$257.499,11,29/12/2022
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$567.511,11,06/02/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$78.589,11,17/04/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$778.799,11,20/06/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$402.281,11,26/08/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$368.134,11,12/10/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$238.802,11,28/12/2023
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$739.084,11,09/02/2024
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$578.868,11,18/04/2024
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$481.653,11,22/06/2024
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$676.243,11,30/08/2024
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$101.418,9,02/05/2020
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$153.871,9,03/08/2020
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$141.673,9,5/11/2020
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$130.672,9,07/02/2021
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$195.011,9,04/05/2021
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$199.470,9,06/08/2021
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$196.540,9,3/11/2021
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$167.308,9,09/02/2022
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$194.895,9,05/05/2022
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$157.365,9,07/08/2022
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$156.809,9,4/11/2022
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$168.805,9,06/02/2023
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$175.721,9,03/05/2023
D00110,Apoyo Logistico SA,Apoyo Logistico,Empresa,Contacto GH,,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,5,29-01265476-14,02/05/2020,01/07/2024,NO,Trimestral,$129.491,9,05/08/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$766.487,9,2/12/2019
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$356.286,9,03/01/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$72.321,9,05/02/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$512.660,9,03/03/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$235.999,9,04/04/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$188.904,9,06/05/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$183.842,9,03/06/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$70.469,9,05/07/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$207.544,9,04/08/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$483.595,9,03/09/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$226.668,9,5/10/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$285.886,9,4/11/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$321.539,9,2/12/2020
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$345.181,9,03/01/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$250.534,9,05/02/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$333.984,9,04/03/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$522.252,9,06/04/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$564.381,9,03/05/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$53.611,9,05/06/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$175.471,9,04/07/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$487.451,9,06/08/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$590.151,9,03/09/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$442.684,9,5/10/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$520.747,9,4/11/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$599.251,9,6/12/2021
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$360.648,9,04/01/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$63.873,9,05/02/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$299.852,9,03/03/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$723.618,9,05/04/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$615.923,9,03/05/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$282.999,9,05/06/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$693.094,9,04/07/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$54.677,9,03/08/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$319.808,9,05/09/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$626.970,9,4/10/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$364.686,9,5/11/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$631.303,9,3/12/2022
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$274.376,9,05/01/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$128.788,9,04/02/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$256.681,9,05/03/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$480.666,9,03/04/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$482.346,9,05/05/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$488.328,9,03/06/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$262.263,9,05/07/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$356.384,9,03/08/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$544.174,9,05/09/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$149.397,9,4/10/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$675.154,9,5/11/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$202.733,9,3/12/2023
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$773.286,9,05/01/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$334.462,9,04/02/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$739.298,9,03/03/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$539.067,9,05/04/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$159.307,9,03/05/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$152.701,9,05/06/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$430.624,9,04/07/2024
D00111,Futuro Corporativo SAS,Futuro Corporativo,Empresa,Contacto E,,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,4,27-23783266-6,2/12/2019,,SI,Mensual,$148.343,9,05/08/2024
D00112,Global Energies SA,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,SA,5,25-36901514-8,13/08/2019,,SI,Anual,$385.846,11,13/08/2019
D00112,Global Energies,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,5,25-36901514-8,13/08/2019,,SI,Anual,$750.782,11,14/08/2020
D00112,Global Energies,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,5,25-36901514-8,13/08/2019,,SI,Anual,$409.837,11,12/08/2021
D00112,Global Energies,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,5,25-36901514-8,13/08/2019,,SI,Anual,$747.805,11,15/08/2022
D00112,Global Energies,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,5,25-36901514-8,13/08/2019,,SI,Anual,$260.898,11,13/08/2023
D00112,Global Energies,Global Energies,Estado,Contacto A,,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,5,25-36901514-8,13/08/2019,,SI,Anual,$558.515,11,14/08/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$706.102,11,21/01/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$254.098,11,22/02/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$76.229,11,21/03/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$628.328,11,23/04/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$486.856,11,21/05/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$298.046,11,22/06/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$171.034,11,21/07/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$587.146,11,23/08/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$417.361,11,21/09/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$279.196,11,22/10/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$706.918,11,21/11/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$385.281,11,23/12/2022
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$331.280,11,21/01/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$351.957,11,22/02/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$357.979,11,21/03/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$581.485,11,23/04/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$428.123,11,21/05/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$85.345,11,22/06/2023
